,date,time,redsox_game
0,2014-04-04,3:19,1
1,2014-04-05,4:23,1
2,2014-04-06,2:57,1
3,2014-04-07,3:07,1
4,2014-04-08,3:11,1
5,2014-04-09,2:57,1
6,2014-04-18,3:26,1
7,2014-04-19,2:47,1
8,2014-04-20,3:32,1
9,2014-04-21,3:18,1
10,2014-04-22,3:17,1
11,2014-04-23,3:12,1
12,2014-04-24,3:51,1
13,2014-04-29,3:40,1
14,2014-05-01,3:27,1
15,2014-05-01,3:44,1
16,2014-05-02,3:37,1
17,2014-05-03,2:44,1
18,2014-05-04,3:45,1
19,2014-05-06,4:04,1
20,2014-05-07,2:47,1
21,2014-05-16,3:14,1
22,2014-05-17,2:49,1
23,2014-05-18,3:19,1
24,2014-05-20,3:17,1
25,2014-05-21,3:23,1
26,2014-05-22,2:58,1
27,2014-05-28,3:09,1
28,2014-05-29,3:00,1
29,2014-05-30,3:55,1
30,2014-05-31,3:07,1
31,2014-06-01,3:12,1
32,2014-06-12,3:08,1
33,2014-06-13,3:13,1
34,2014-06-14,3:24,1
35,2014-06-15,4:03,1
36,2014-06-16,2:45,1
37,2014-06-17,2:48,1
38,2014-06-18,2:31,1
39,2014-06-30,2:59,1
40,2014-07-01,3:35,1
41,2014-07-02,4:19,1
42,2014-07-05,2:40,1
43,2014-07-05,3:36,1
44,2014-07-06,5:05,1
45,2014-07-07,2:55,1
46,2014-07-08,3:11,1
47,2014-07-09,2:54,1
48,2014-07-10,3:22,1
49,2014-07-18,3:31,1
50,2014-07-19,2:39,1
51,2014-07-20,2:56,1
52,2014-07-28,3:15,1
53,2014-07-29,3:03,1
54,2014-07-30,2:48,1
55,2014-08-01,3:03,1
56,2014-08-02,3:56,1
57,2014-08-03,3:42,1
58,2014-08-14,3:19,1
59,2014-08-15,3:46,1
60,2014-08-16,3:50,1
61,2014-08-17,3:11,1
62,2014-08-18,3:22,1
63,2014-08-19,3:24,1
64,2014-08-20,3:42,1
65,2014-08-21,3:10,1
66,2014-08-22,3:41,1
67,2014-08-23,3:28,1
68,2014-08-24,4:07,1
69,2014-09-05,3:53,1
70,2014-09-06,3:23,1
71,2014-09-07,2:44,1
72,2014-09-08,3:08,1
73,2014-09-09,3:32,1
74,2014-09-10,3:23,1
75,2014-09-23,3:14,1
76,2014-09-24,3:40,1
77,2014-09-25,3:16,1
78,2014-09-26,3:01,1
79,2014-09-27,3:04,1
80,2014-09-28,3:14,1
