,Date,mean_temp,rain,snow,hail,snowfall,precip
0,2014-04-01,41,0,0,0,0.00,0.00
0,2014-04-02,42,0,0,0,0.00,0.00
0,2014-04-03,44,0,0,0,0.00,0.00
0,2014-04-04,41,1,0,0,0.00,0.26
0,2014-04-05,46,1,0,0,0.00,0.23
0,2014-04-06,47,0,0,0,0.00,0.00
0,2014-04-07,49,1,0,0,0.00,0.04
0,2014-04-08,54,1,0,0,0.00,0.67
0,2014-04-09,50,0,0,0,0.00,0.00
0,2014-04-10,47,0,0,0,0.00,0.00
0,2014-04-11,59,1,0,0,0.00,T
0,2014-04-12,59,1,0,0,0.00,0.04
0,2014-04-13,54,1,0,0,0.00,0.04
0,2014-04-14,66,0,0,0,0.00,0.00
0,2014-04-15,55,1,0,0,0.00,0.62
0,2014-04-16,38,1,1,0,0.30,0.36
0,2014-04-17,36,0,0,0,0.00,0.00
0,2014-04-18,37,0,0,0,0.00,0.00
0,2014-04-19,50,0,0,0,0.00,0.00
0,2014-04-20,44,0,0,0,0.00,0.00
0,2014-04-21,53,0,0,0,0.00,0.00
0,2014-04-22,60,1,0,0,0.00,0.05
0,2014-04-23,52,1,0,0,0.00,0.23
0,2014-04-24,51,0,0,0,0.00,0.00
0,2014-04-25,50,0,0,0,0.00,0.00
0,2014-04-26,45,1,0,0,0.00,0.20
0,2014-04-27,46,1,0,0,0.00,0.15
0,2014-04-28,48,1,0,0,0.00,T
0,2014-04-29,43,1,0,0,0.00,T
0,2014-04-30,43,1,0,0,0.00,0.35
